time_id,data_id,system.code,station.code,date,time,depth (m),T (C),SC (uS/cm),pH,DOx (mg/L),Tn (NTU),ORP (mV),Chl (ug/L)
1100782,1280111,ONR,B148,6/9/2008,4:14:00,1.9,23.38,953,7.46,6.84,2.8,,2.6
1100783,1280112,ONR,B148,7/2/2008,15:01:00,2.1,23.67,325,8.06,9.93,0.8,,1.7
1100784,1280113,ONR,B148,7/2/2008,17:01:00,2.1,23.88,324,8.2,10.06,0.7,,2.2
1100785,1280114,ONR,B148,7/2/2008,19:01:00,2.1,23.99,324,8.24,10.22,0.6,,1.4
1100786,1280115,ONR,B148,7/2/2008,21:01:00,2.1,23.9,324,8.29,10.42,0.6,,1.5
1100787,1280116,ONR,B148,7/2/2008,23:01:00,2.1,23.76,324,8.29,10.38,0.8,,1
1100788,1280117,ONR,B148,7/3/2008,1:01:00,2.1,23.62,324,8.32,10.49,0.8,,1.3
1100789,1280118,ONR,B148,7/3/2008,3:01:00,2.1,23.55,324,8.3,10.27,0.8,,0.2
1100790,1280119,ONR,B148,7/3/2008,5:01:00,2.1,23.43,325,8.21,9.77,0.7,,0.9
1100791,1280120,ONR,B148,7/3/2008,7:01:00,2.1,23.3,326,8.16,9.47,0.8,,1
1100792,1280121,ONR,B148,7/3/2008,9:01:00,2.1,23.23,325,8.16,9.52,0.7,,1.2
1100793,1280122,ONR,B148,7/3/2008,11:01:00,2.1,23.17,325,8.18,9.47,1,,1
1101438,1280824,ONR,B148,7/3/2008,13:01:00,2.1,23.14,325,8.16,9.43,0.8,,2.2
1101439,1280825,ONR,B148,7/3/2008,15:01:00,2.1,23.12,325,8.14,9.41,1,,1.3
1101440,1280826,ONR,B148,7/3/2008,17:01:00,2.1,23.16,325,8.13,9.37,1.6,,1.9
1101441,1280827,ONR,B148,7/3/2008,19:01:00,2.1,23.1,325,8.12,9.37,1.1,,1.7
1101442,1280828,ONR,B148,7/3/2008,21:01:00,2.1,23.04,325,8.13,9.38,0.7,,1.2
1101443,1280829,ONR,B148,7/3/2008,23:01:00,2.1,22.92,325,8.08,9.21,1,,0.8
1101444,1280830,ONR,B148,7/4/2008,1:01:00,2.1,22.77,326,8.05,9.06,1,,0.6
1101445,1280831,ONR,B148,7/4/2008,3:01:00,2.1,22.63,326,7.99,8.77,1,,0.7
1101446,1280832,ONR,B148,7/4/2008,5:01:00,2.2,22.44,327,7.92,8.35,1.1,,1.2
1101447,1280833,ONR,B148,7/4/2008,7:01:00,2.2,22.28,327,7.88,8.22,1.1,,0.6
1101448,1280834,ONR,B148,7/4/2008,9:01:00,2.2,22.28,327,7.87,8.18,1.3,,2.1
1102098,1281504,ONR,B148,7/4/2008,11:01:00,2.2,22.43,327,7.9,8.39,0.9,,1
1102099,1281505,ONR,B148,7/4/2008,13:01:00,2.2,22.61,327,7.92,8.53,0.9,,0.4
1102100,1281506,ONR,B148,7/4/2008,15:01:00,2.1,23,327,7.96,8.84,0.6,,1.3
1102101,1281507,ONR,B148,7/4/2008,17:01:00,2.1,23.34,327,7.99,9.16,0.6,,0.9
1102102,1281508,ONR,B148,7/4/2008,19:01:00,2.1,23.46,327,8.05,9.47,0.7,,0.5
1102103,1281509,ONR,B148,7/4/2008,21:01:00,2.1,23.42,327,8.09,9.74,0.6,,1.4
1102104,1281510,ONR,B148,7/4/2008,23:01:00,2.1,23.31,327,8.09,9.75,1,,0.9
1102105,1281511,ONR,B148,7/5/2008,1:01:00,2.1,23.14,327,8.05,9.45,0.7,,0.4
1102106,1281512,ONR,B148,7/5/2008,3:01:00,2.1,22.96,327,8.06,9.46,0.8,,0.7
1102107,1281513,ONR,B148,7/5/2008,5:01:00,2.1,22.77,327,8,9.22,0.9,,0.8
1102108,1281514,ONR,B148,7/5/2008,7:01:00,2.1,22.6,327,7.97,9.05,0.7,,0.7
1102109,1281515,ONR,B148,7/5/2008,9:01:00,2.1,22.59,327,8,9.08,0.8,,1.1
1102713,1282154,ONR,B148,7/5/2008,11:01:00,2.1,22.63,327,7.98,9.04,1.1,,1
1102714,1282155,ONR,B148,7/5/2008,13:01:00,2.1,22.78,326,8.05,9.31,0.7,,0.4
1102715,1282156,ONR,B148,7/5/2008,15:01:00,2.1,22.94,327,8.04,9.41,1.1,,1.1
1102716,1282157,ONR,B148,7/5/2008,17:01:00,2.1,23.19,327,8.08,9.6,0.8,,1.1
1102717,1282158,ONR,B148,7/5/2008,19:01:00,2.1,23.3,327,8.07,9.75,0.6,,-0.1
1102718,1282159,ONR,B148,7/5/2008,21:01:00,2.1,23.29,326,8.07,9.83,0.7,,1.8
