time_id,data_id,system.code,station.code,date,time,depth (m),T (C),SC (uS/cm),pH,DOx (mg/L),Tn (NTU),ORP (mV),Chl (ug/L)
1139480,1320888,OSWR,B143,7/9/2008,11:01:00,4.4,25.48,,7.56,,,,
1139481,1320889,OSWR,B143,7/9/2008,13:01:00,4.4,25.46,,7.55,,,,
1139482,1320890,OSWR,B143,7/9/2008,15:01:00,4.4,25.5,,7.54,,,,
1139483,1320891,OSWR,B143,7/9/2008,17:01:00,4.4,25.55,,7.53,,,,
1139484,1320892,OSWR,B143,7/9/2008,19:01:00,4.4,25.61,,7.53,,,,
1139485,1320893,OSWR,B143,7/9/2008,21:01:00,4.4,25.64,,7.53,,,,
1139486,1320894,OSWR,B143,7/9/2008,23:01:00,4.4,25.69,,7.58,,,,
1139487,1320895,OSWR,B143,7/10/2008,1:01:00,4.5,25.57,,7.58,,,,
1139488,1320896,OSWR,B143,7/10/2008,3:01:00,4.5,25.45,,7.57,,,,
1139489,1320897,OSWR,B143,7/10/2008,5:01:00,4.5,25.32,,7.59,,,,
1139490,1320898,OSWR,B143,7/10/2008,7:01:00,4.5,25.18,,7.56,,,,
1139491,1320899,OSWR,B143,7/10/2008,9:01:00,4.5,25.23,,7.59,,,,
1139492,1320900,OSWR,B143,7/10/2008,11:01:00,4.5,25.23,,7.57,,,,
1139493,1320901,OSWR,B143,7/10/2008,13:01:00,4.5,25.18,,7.56,,,,
1139494,1320902,OSWR,B143,7/10/2008,15:01:00,4.5,25.21,,7.55,,,,
1139495,1320903,OSWR,B143,7/10/2008,17:01:00,4.5,25.22,,7.53,,,,
1139496,1320904,OSWR,B143,7/10/2008,19:01:00,4.5,25.07,,7.51,,,,
1139497,1320905,OSWR,B143,7/10/2008,21:01:00,4.5,25.04,,7.51,,,,
1139498,1320906,OSWR,B143,7/10/2008,23:01:00,4.5,25.25,,7.59,,,,
1139499,1320907,OSWR,B143,7/11/2008,1:01:00,4.5,25.12,,7.58,,,,
1139500,1320908,OSWR,B143,7/11/2008,3:01:00,4.5,25.03,,7.57,,,,
1139501,1320909,OSWR,B143,7/11/2008,5:01:00,4.5,24.92,,7.56,,,,
1139502,1320910,OSWR,B143,7/11/2008,7:01:00,4.5,24.94,,7.58,,,,
1139503,1320911,OSWR,B143,7/11/2008,9:01:00,4.5,24.91,,7.59,,,,
1139504,1320912,OSWR,B143,7/11/2008,11:01:00,4.5,24.85,,7.58,,,,
1139505,1320913,OSWR,B143,7/11/2008,13:01:00,4.5,24.79,,7.56,,,,
1139506,1320914,OSWR,B143,7/11/2008,15:01:00,4.6,24.77,,7.55,,,,
