time_id,data_id,system.code,station.code,date,time,depth (m),T (°C),SC (µS/cm),pH,DOx (mg/L),Tn (NTU),ORP (mV),Chl (µg/L)
55906,117491,SR,B224,07/12/2002,15:02:00,1.18,24.51,913,7.55,4.8,2.6,312.2,2.8
55906,117492,SR,B224,07/12/2002,15:02:00,1.82,24.43,915,7.58,4.93,2.4,312.2,2.6
55906,117493,SR,B224,07/12/2002,15:02:00,2.81,24.34,910,7.55,4.64,2.4,312.2,2.5
55906,117494,SR,B224,07/12/2002,15:02:00,3.85,24.29,918,7.54,4.66,2.8,312.2,2.4
55907,117495,SR,B224,07/13/2002,03:04:00,1.1,24.45,913,7.57,4.82,3.7,312.2,2.4
55907,117496,SR,B224,07/13/2002,03:04:00,1.86,24.44,913,7.58,4.83,4,312.2,2.4
55907,117497,SR,B224,07/13/2002,03:04:00,2.95,24.43,914,7.57,4.81,4.4,312.2,2.8
55907,117498,SR,B224,07/13/2002,03:04:00,3.9,24.43,913,7.57,4.83,4.1,312.2,2
55908,117499,SR,B224,07/13/2002,15:03:00,1.16,25.17,888,7.6,5.55,4.1,312.2,3.8
55908,117500,SR,B224,07/13/2002,15:03:00,1.99,24.91,892,7.59,5.45,4.1,312.2,3
55908,117501,SR,B224,07/13/2002,15:03:00,3.06,24.4,912,7.53,4.3,3.5,312.2,1.6
55908,117502,SR,B224,07/13/2002,15:03:00,3.91,24.4,908,7.52,4.32,4.4,312.2,1.9
55909,117503,SR,B224,07/14/2002,03:03:00,1.15,24.88,863,7.57,5.34,7.1,312.2,4
55909,117504,SR,B224,07/14/2002,03:03:00,2.15,24.87,862,7.57,5.39,7.4,312.2,4.1
55909,117505,SR,B224,07/14/2002,03:03:00,2.86,24.75,882,7.53,4.76,15.2,312.2,4.6
55909,117506,SR,B224,07/14/2002,03:03:00,4.1,24.21,982,7.43,2.65,6.9,312.2,1.6
55910,117507,SR,B224,07/14/2002,15:03:00,1.1,25.5,886,7.56,5.4,6.8,312.2,3.8
55910,117508,SR,B224,07/14/2002,15:03:00,1.93,25.62,847,7.64,6.44,6.7,312.2,4
55910,117509,SR,B224,07/14/2002,15:03:00,2.83,24.9,880,7.54,5.56,12,312.2,2.8
55910,117510,SR,B224,07/14/2002,15:03:00,3.87,24.29,979,7.43,2.93,7.3,312.2,2.3
55911,117511,SR,B224,07/15/2002,03:02:00,1.08,25.27,939,7.51,3.37,3.6,312.2,5.4
55911,117512,SR,B224,07/15/2002,03:02:00,1.88,25.56,866,7.58,6.04,3.8,312.2,4.9
55911,117513,SR,B224,07/15/2002,03:02:00,2.88,25.37,902,7.56,5.31,9.7,312.2,4.5
55911,117514,SR,B224,07/15/2002,03:02:00,3.91,23.94,1120,7.37,1.79,5.4,312.2,4.2
55912,117515,SR,B224,07/15/2002,15:03:00,1.2,25.77,914,7.51,4.91,8.2,312.2,4.5
55912,117516,SR,B224,07/15/2002,15:03:00,1.87,26.08,869,7.64,7.11,8,312.2,4.1
55912,117517,SR,B224,07/15/2002,15:03:00,2.82,25.1,952,7.49,4.53,14,312.2,2.5
55912,117518,SR,B224,07/15/2002,15:03:00,3.81,24.19,1148,7.39,2.4,8.6,312.2,1.6
55913,117519,SR,B224,07/16/2002,03:03:00,1.08,25.38,1011,7.59,3.89,4.1,312.2,5.3
55913,117520,SR,B224,07/16/2002,03:03:00,1.86,25.57,913,7.64,6.59,4.6,312.2,5.5
55913,117521,SR,B224,07/16/2002,03:03:00,2.84,23.83,1329,7.45,3.18,3.3,312.2,3.1
55913,117522,SR,B224,07/16/2002,03:03:00,3.84,23.61,1432,7.42,2.35,3.2,312.2,2.1
55914,117523,SR,B224,07/16/2002,15:03:00,1.08,25.74,965,7.68,6.81,6.7,312.2,4.6
55914,117524,SR,B224,07/16/2002,15:03:00,1.89,25.91,914,7.78,8.04,6.1,312.2,5.3
55914,117525,SR,B224,07/16/2002,15:03:00,2.92,24.47,1171,7.51,4.4,6.9,312.2,2.3
55914,117526,SR,B224,07/16/2002,15:03:00,3.97,23.96,1351,7.45,3.25,5.4,312.2,0.8
55915,117527,SR,B224,07/17/2002,03:03:00,1.04,25,1042,7.74,7.31,6.3,312.2,7.6
55915,117528,SR,B224,07/17/2002,03:03:00,2.13,24.85,1107,7.69,6.8,5.4,312.2,6.9
55915,117529,SR,B224,07/17/2002,03:03:00,2.95,24.68,1161,7.65,6.51,5.7,312.2,5.3
55915,117530,SR,B224,07/17/2002,03:03:00,3.93,24.41,1262,7.58,5.57,7.2,312.2,4
55916,117531,SR,B224,07/17/2002,15:00:00,1.16,26.32,947,7.83,8.42,3.9,312.2,8.9
55916,117532,SR,B224,07/17/2002,15:00:00,1.96,26.03,991,7.76,8.03,5,312.2,5.8
55916,117533,SR,B224,07/17/2002,15:00:00,2.82,25.05,1045,7.59,5.93,3.8,312.2,2.4
55916,117534,SR,B224,07/17/2002,15:00:00,3.81,25.01,1059,7.55,5.45,4.6,312.2,2
55917,117535,SR,B224,07/18/2002,03:03:00,1.07,25.6,964,7.62,5.86,3.9,312.2,5.3
