Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,11:31:00,,16.411,23.185,2.01,6.04,189.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,11:46:00,0,16.529,45.28,1.51,5.03,206.4,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,12:01:00,0,16.915,44.744,1.51,5.03,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,12:16:00,0,16.657,48.095,1.51,5.54,168.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,12:31:00,0,16.872,44.95,2.01,6.54,189.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,12:46:00,0,16.614,46.722,1.51,3.52,192.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,13:01:00,0,17.472,44.787,1.01,4.53,176.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,13:16:00,0,17.837,47.799,2.01,6.04,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,13:31:00,0,17.558,47.181,2.01,7.05,169.9,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,13:46:00,0,18.416,45.519,1.51,5.03,179.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,14:01:00,0,18.459,43.581,2.01,5.54,192.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,14:16:00,0,18.094,45.948,1.51,5.54,196.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,14:31:00,0,18.459,46.517,1.51,6.04,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,14:46:00,0,17.773,47.108,1.51,5.03,178.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,15:01:00,0,17.751,47.117,1.51,4.03,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,15:16:00,0,17.665,48.946,1.51,4.53,181.1,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,15:31:00,0,17.815,48.321,1.51,5.54,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,15:46:00,0,17.365,50.228,1.51,5.54,171.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,16:01:00,0,17.258,50.811,1.01,4.53,185.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,16:16:00,0,18.073,49.894,1.01,4.53,185.3,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,16:31:00,0,18.395,48.809,1.01,3.02,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,16:46:00,0,17.558,50.687,1.01,5.54,186.7,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,17:01:00,0,17.236,51.919,1.51,5.03,182.5,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/19/2023,17:16:00,0,17.065,53.519,1.01,3.52,181.1,S
